id,name,brand,category,price,stock_quantity,specifications,image_url
1,HP Pavilion Gaming 15,HP,Gaming Laptop,425000,15,"Intel Core i5-11300H, 8GB RAM, 512GB SSD, NVIDIA GTX 1650, 15.6"" FHD Display, Windows 11",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+Pavilion
2,Dell Inspiron 15 3000,Dell,Budget Laptop,365000,25,"Intel Core i3-1115G4, 4GB RAM, 1TB HDD, Intel UHD Graphics, 15.6"" HD Display, Windows 11",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+Inspiron
3,Lenovo ThinkPad E14,Lenovo,Business Laptop,520000,12,"Intel Core i5-1135G7, 8GB RAM, 256GB SSD, Intel Iris Xe Graphics, 14"" FHD Display, Windows 11 Pro",https://via.placeholder.com/300x200/E2231A/FFFFFF?text=Lenovo+ThinkPad
4,HP EliteBook 840 G8,HP,Business Laptop,685000,8,"Intel Core i7-1165G7, 16GB RAM, 512GB SSD, Intel Iris Xe Graphics, 14"" FHD Display, Windows 11 Pro",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+EliteBook
5,Dell XPS 13 9310,Dell,Ultrabook,735000,6,"Intel Core i7-1165G7, 16GB RAM, 512GB SSD, Intel Iris Xe Graphics, 13.3"" 4K OLED Display, Windows 11",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+XPS
6,Lenovo Legion 5 15ACH6H,Lenovo,Gaming Laptop,615000,10,"AMD Ryzen 5 5600H, 8GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6"" FHD 120Hz Display, Windows 11",https://via.placeholder.com/300x200/E2231A/FFFFFF?text=Lenovo+Legion
7,HP Spectre x360 14,HP,2-in-1 Laptop,695000,7,"Intel Core i7-1165G7, 16GB RAM, 1TB SSD, Intel Iris Xe Graphics, 13.5"" 3K2K OLED Touchscreen, Windows 11",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+Spectre
8,Dell Latitude 5520,Dell,Business Laptop,465000,18,"Intel Core i5-1135G7, 8GB RAM, 256GB SSD, Intel Iris Xe Graphics, 15.6"" FHD Display, Windows 11 Pro",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+Latitude
9,Lenovo IdeaPad 3 15ITL6,Lenovo,Budget Laptop,385000,22,"Intel Core i3-1115G4, 4GB RAM, 1TB HDD, Intel UHD Graphics, 15.6"" HD Display, Windows 11",https://via.placeholder.com/300x200/E2231A/FFFFFF?text=Lenovo+IdeaPad
10,HP Omen 15-en1013dx,HP,Gaming Laptop,575000,14,"AMD Ryzen 7 5800H, 8GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6"" FHD 144Hz Display, Windows 11",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+Omen
11,Dell Vostro 3510,Dell,Budget Laptop,395000,20,"Intel Core i3-1115G4, 4GB RAM, 1TB HDD, Intel UHD Graphics, 15.6"" HD Display, Windows 11",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+Vostro
12,Lenovo ThinkBook 15 G2,Lenovo,Business Laptop,445000,16,"Intel Core i5-1135G7, 8GB RAM, 256GB SSD, Intel Iris Xe Graphics, 15.6"" FHD Display, Windows 11",https://via.placeholder.com/300x200/E2231A/FFFFFF?text=Lenovo+ThinkBook
13,HP Envy 13-ba1010nr,HP,Ultrabook,585000,11,"Intel Core i7-1165G7, 8GB RAM, 256GB SSD, Intel Iris Xe Graphics, 13.3"" FHD Display, Windows 11",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+Envy
14,Dell Precision 3560,Dell,Workstation,715000,5,"Intel Core i7-1165G7, 16GB RAM, 512GB SSD, NVIDIA Quadro T500, 15.6"" FHD Display, Windows 11 Pro",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+Precision
15,Lenovo Yoga 7 14ITL5,Lenovo,2-in-1 Laptop,625000,9,"Intel Core i5-1135G7, 8GB RAM, 512GB SSD, Intel Iris Xe Graphics, 14"" FHD Touchscreen, Windows 11",https://via.placeholder.com/300x200/E2231A/FFFFFF?text=Lenovo+Yoga
16,HP Pavilion 15-eg0025nr,HP,Budget Laptop,375000,24,"Intel Core i3-1125G4, 8GB RAM, 256GB SSD, Intel UHD Graphics, 15.6"" HD Display, Windows 11",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+Pavilion
17,Dell Inspiron 14 5000,Dell,Mid-range Laptop,455000,17,"Intel Core i5-1135G7, 8GB RAM, 256GB SSD, Intel Iris Xe Graphics, 14"" FHD Display, Windows 11",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+Inspiron+14
18,Lenovo Legion 7 16ACHg6,Lenovo,Gaming Laptop,745000,4,"AMD Ryzen 7 5800H, 16GB RAM, 1TB SSD, NVIDIA RTX 3070, 16"" QHD 165Hz Display, Windows 11",https://via.placeholder.com/300x200/E2231A/FFFFFF?text=Lenovo+Legion+7
19,HP ProBook 450 G8,HP,Business Laptop,495000,13,"Intel Core i5-1135G7, 8GB RAM, 256GB SSD, Intel Iris Xe Graphics, 15.6"" FHD Display, Windows 11 Pro",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+ProBook
20,Dell Alienware m15 R6,Dell,Gaming Laptop,725000,3,"Intel Core i7-11800H, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 15.6"" FHD 360Hz Display, Windows 11",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+Alienware
21,Lenovo IdeaPad 5 15ITL05,Lenovo,Mid-range Laptop,485000,19,"Intel Core i5-1135G7, 8GB RAM, 512GB SSD, Intel Iris Xe Graphics, 15.6"" FHD Display, Windows 11",https://via.placeholder.com/300x200/E2231A/FFFFFF?text=Lenovo+IdeaPad+5
22,HP ZBook Studio G8,HP,Workstation,745000,2,"Intel Core i7-11800H, 32GB RAM, 1TB SSD, NVIDIA RTX A2000, 15.6"" 4K DreamColor Display, Windows 11 Pro",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+ZBook
23,Dell G15 5511,Dell,Gaming Laptop,535000,12,"Intel Core i5-11400H, 8GB RAM, 256GB SSD, NVIDIA RTX 3050, 15.6"" FHD 120Hz Display, Windows 11",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+G15
24,Lenovo ThinkPad X1 Carbon Gen 9,Lenovo,Ultrabook,675000,6,"Intel Core i7-1165G7, 16GB RAM, 512GB SSD, Intel Iris Xe Graphics, 14"" WQHD Display, Windows 11 Pro",https://via.placeholder.com/300x200/E2231A/FFFFFF?text=Lenovo+X1+Carbon
25,HP Laptop 15-dy2795wm,HP,Budget Laptop,355000,26,"Intel Celeron N4020, 4GB RAM, 64GB eMMC, Intel UHD Graphics 600, 15.6"" HD Display, Windows 11",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+Laptop+15
26,Dell XPS 15 9510,Dell,Premium Laptop,695000,7,"Intel Core i7-11800H, 16GB RAM, 512GB SSD, NVIDIA RTX 3050 Ti, 15.6"" 4K OLED Display, Windows 11",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+XPS+15
27,Lenovo V15 G2 ITL,Lenovo,Budget Laptop,365000,23,"Intel Core i3-1115G4, 4GB RAM, 1TB HDD, Intel UHD Graphics, 15.6"" HD Display, Windows 11",https://via.placeholder.com/300x200/E2231A/FFFFFF?text=Lenovo+V15
28,HP Elite Dragonfly G2,HP,Premium 2-in-1,715000,5,"Intel Core i7-1165G7, 16GB RAM, 512GB SSD, Intel Iris Xe Graphics, 13.3"" 4K OLED Touchscreen, Windows 11 Pro",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+Elite+Dragonfly
29,Dell Inspiron 16 Plus 7610,Dell,Creator Laptop,605000,10,"Intel Core i7-11800H, 16GB RAM, 512GB SSD, NVIDIA RTX 3050, 16"" 3K Display, Windows 11",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+Inspiron+16
30,Lenovo IdeaPad Gaming 3 15ACH6,Lenovo,Gaming Laptop,475000,15,"AMD Ryzen 5 5600H, 8GB RAM, 256GB SSD, NVIDIA GTX 1650, 15.6"" FHD 120Hz Display, Windows 11",https://via.placeholder.com/300x200/E2231A/FFFFFF?text=Lenovo+IdeaPad+Gaming
31,HP Pavilion x360 14-dw1025nr,HP,2-in-1 Laptop,525000,11,"Intel Core i5-1135G7, 8GB RAM, 256GB SSD, Intel Iris Xe Graphics, 14"" FHD Touchscreen, Windows 11",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+Pavilion+x360
32,Dell Precision 5560,Dell,Mobile Workstation,735000,4,"Intel Core i7-11850H, 32GB RAM, 1TB SSD, NVIDIA RTX A2000, 15.6"" 4K Display, Windows 11 Pro",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+Precision+5560
33,Lenovo ThinkPad P1 Gen 4,Lenovo,Mobile Workstation,725000,3,"Intel Core i7-11850H, 32GB RAM, 1TB SSD, NVIDIA RTX A2000, 16"" 4K Display, Windows 11 Pro",https://via.placeholder.com/300x200/E2231A/FFFFFF?text=Lenovo+ThinkPad+P1
34,HP Laptop 14-fq1025nr,HP,Budget Laptop,385000,21,"AMD Ryzen 3 5300U, 8GB RAM, 256GB SSD, AMD Radeon Graphics, 14"" FHD Display, Windows 11",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+Laptop+14
35,Dell Vostro 5510,Dell,Business Laptop,545000,14,"Intel Core i7-11370H, 8GB RAM, 256GB SSD, NVIDIA MX450, 15.6"" FHD Display, Windows 11 Pro",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+Vostro+5510
36,Lenovo Yoga Slim 7 14ARE05,Lenovo,Ultrabook,565000,8,"AMD Ryzen 7 4800U, 16GB RAM, 512GB SSD, AMD Radeon Graphics, 14"" FHD Display, Windows 11",https://via.placeholder.com/300x200/E2231A/FFFFFF?text=Lenovo+Yoga+Slim
37,HP Envy x360 15-eu0010nr,HP,2-in-1 Laptop,595000,9,"AMD Ryzen 7 5700U, 8GB RAM, 256GB SSD, AMD Radeon Graphics, 15.6"" FHD Touchscreen, Windows 11",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+Envy+x360
38,Dell Latitude 7420,Dell,Premium Business,655000,7,"Intel Core i7-1185G7, 16GB RAM, 512GB SSD, Intel Iris Xe Graphics, 14"" FHD Display, Windows 11 Pro",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+Latitude+7420
39,Lenovo Legion 5 Pro 16ACH6H,Lenovo,Gaming Laptop,665000,6,"AMD Ryzen 7 5800H, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 16"" QHD 165Hz Display, Windows 11",https://via.placeholder.com/300x200/E2231A/FFFFFF?text=Lenovo+Legion+5+Pro
40,HP Victus 16-e0025dx,HP,Gaming Laptop,485000,13,"AMD Ryzen 5 5600H, 8GB RAM, 256GB SSD, NVIDIA GTX 1650, 16.1"" FHD 144Hz Display, Windows 11",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+Victus
41,Dell Inspiron 15 5000,Dell,Mid-range Laptop,425000,16,"Intel Core i5-1135G7, 8GB RAM, 256GB SSD, Intel Iris Xe Graphics, 15.6"" FHD Display, Windows 11",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+Inspiron+15+5000
42,Lenovo IdeaPad Flex 5 14ALC05,Lenovo,2-in-1 Laptop,445000,12,"AMD Ryzen 5 5500U, 8GB RAM, 256GB SSD, AMD Radeon Graphics, 14"" FHD Touchscreen, Windows 11",https://via.placeholder.com/300x200/E2231A/FFFFFF?text=Lenovo+IdeaPad+Flex
43,HP Stream 14-cb194wm,HP,Budget Laptop,365000,18,"Intel Celeron N4000, 4GB RAM, 64GB eMMC, Intel UHD Graphics 600, 14"" HD Display, Windows 11 S",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+Stream
44,Dell XPS 17 9710,Dell,Premium Laptop,745000,2,"Intel Core i9-11900H, 32GB RAM, 1TB SSD, NVIDIA RTX 3060, 17"" 4K+ Display, Windows 11",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+XPS+17
45,Lenovo ThinkPad E15 Gen 3,Lenovo,Business Laptop,465000,15,"AMD Ryzen 5 5500U, 8GB RAM, 256GB SSD, AMD Radeon Graphics, 15.6"" FHD Display, Windows 11 Pro",https://via.placeholder.com/300x200/E2231A/FFFFFF?text=Lenovo+ThinkPad+E15
46,HP EliteBook 650 G8,HP,Business Laptop,575000,10,"Intel Core i5-1135G7, 16GB RAM, 256GB SSD, Intel Iris Xe Graphics, 15.6"" FHD Display, Windows 11 Pro",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+EliteBook+650
47,Dell G5 15 5515,Dell,Gaming Laptop,555000,11,"AMD Ryzen 7 4800H, 8GB RAM, 256GB SSD, NVIDIA RTX 3060, 15.6"" FHD 165Hz Display, Windows 11",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+G5+15
48,Lenovo Yoga 9 14ITL5,Lenovo,Premium 2-in-1,695000,5,"Intel Core i7-1185G7, 16GB RAM, 1TB SSD, Intel Iris Xe Graphics, 14"" 4K OLED Touchscreen, Windows 11",https://via.placeholder.com/300x200/E2231A/FFFFFF?text=Lenovo+Yoga+9
49,HP Omen 17-ck0010nr,HP,Gaming Laptop,685000,8,"Intel Core i7-11800H, 16GB RAM, 512GB SSD, NVIDIA RTX 3060, 17.3"" FHD 144Hz Display, Windows 11",https://via.placeholder.com/300x200/0073e6/FFFFFF?text=HP+Omen+17
50,Dell Precision 7560,Dell,Mobile Workstation,750000,1,"Intel Core i9-11950H, 32GB RAM, 1TB SSD, NVIDIA RTX A3000, 15.6"" 4K Display, Windows 11 Pro",https://via.placeholder.com/300x200/007DB8/FFFFFF?text=Dell+Precision+7560
